Area_Id,Area,Latitude,Longitude
7398,Mudichur-Attai Company Mtc Stop,12.914452,80.071437
7400,Mudichur-Church,12.9128,80.0705
7402,Mudichur-Krishna Nagar MTC Bus Stop,12.9234,80.0973
7397,Mudichur-Lakshmi Nagar Mtc Stop,12.9056,80.0662
7399,Mudichur-Madanapuram MTC Bus Stop,12.9155,80.0771
7396,Mudichur-Natesan Mtr. School,12.9015,80.0621
7731,Mugalivakkam-Arasa Maram Bus stop,13.0208,80.1662
7405,Mugalivakkam-Opp To MTC Bus Stop,13.0291,80.169
7406,Muthamizh Nagar-Bus Stop,13.1341,80.2523
7407,Muthapudupet-Bus Stop,13.1458,80.0645
7869,Muttukkadu-Bus stop,12.8274,80.2403
7733,Mylapore -Kachery road Mosque,13.034443,80.27317
7408,Mylapore-Luz Church,13.0374,80.2626
7800,Mylapore-Mundhakani Amman kovil,13.040731,80.269749
7411,Mylapore-Sankrit College,13.0405,80.2685
7410,Mylapore-Tank Bus Stop,13.0339,80.2679
7413,Naduveerapattu-Bus Stop,12.94275,80.049789
7416,Nagalkeni-Chemoleums Bus Stop,12.9611,80.1374
7415,Nagalkeni-MGR Statue MTC Bus Stop,12.962,80.1383
7417,Nammalwarpet-MTC Bus Stop,13.096,80.2427
7418,Nandabakkam-Chennai Trade Centre,13.014,80.1897
7419,Nandanam Signal-Arts College,13.029237,80.239865
7420,Nandhivaram-Government Hospital,12.8458,80.0618
7734,Nanganallur-Anjaneyar Kovil,12.9859637,80.1925674
7426,Nanganallur-BM Hospital,12.9889,80.1903
7425,Nanganallur-Lakshmi Nagar,12.9791,80.189
7423,Nanganallur-Roja medicals,12.9807,80.188
7421,Nanganallur-Thillaiganga Nagar Subway,12.9921,80.1933
7422,Nanganallur-Velan Theatre,12.9803,80.1822
7427,Nanmangalam-Bus stop,12.9385,80.175406
7840,Navalur-AGS Bus Stop,12.8498,80.2265
7428,Navalur-Bus Stop,12.8452,80.2264
7429,Nedungundram-Bus stop,12.8801,80.1088
7736,Nedungundram-Sadhanathapuram Bus Stop,12.898,80.108
7431,Neelangarai-Buhari Hotel,12.9422,80.2532
7430,Neelangarai-Bus Stand,12.9497,80.2547
